eng,zh-cn,zh-tw,Source,Duplicated
Gaonu,高奴,高奴,Vanilla,False
Gaoyou,高邮,高郵,Vanilla,False
Geyang,葛阳,葛陽,Vanilla,False
Gongcheng,恭城,共城,Vanilla,False
Gu Pass,故关,故關,Vanilla,False
Guangxin,广信,廣信,Vanilla,False
Guangyang,广阳,廣陽,Vanilla,False
Guangyu,广郁,廣鬱,Vanilla,False
Gushi,固始,固始,Vanilla,False
Guzang,姑臧,姑臧,Vanilla,False
Haixi,海西,海西,Vanilla,False
Hanchang,汉昌,漢昌,Vanilla,False
Hangu Pass,函谷关,函谷關,Vanilla,False
Hanjia,汉嘉,漢嘉,Vanilla,False
Hefei,合肥,合肥,Vanilla,False
Henei,河内,河內,Vanilla,False
Heyin,河阴,河陰,Vanilla,False
Hongnong,弘农,弘農,Vanilla,False
"Houguan, District",侯官（城市）,侯官·郡治,Vanilla,False
"Houguan, Livestock Farm",侯官（畜牧场）,侯官·牲畜牧場,Vanilla,False
Huaixian,怀县,懷縣,Vanilla,False
Huaiyin,淮阴,淮陰,Vanilla,False
Huang Sea,黄海,黃海,Vanilla,False
Huangxian,黄县,黃縣,Vanilla,False
Hulao Pass,虎牢关,虎牢關,Vanilla,False
Ji,蓟,薊,Vanilla,False
Jiameng Pass,葭萌关,葭萌關,Vanilla,False
Jian'an,建安,建安,Vanilla,False
Jianchang,建昌,建昌,Vanilla,False
Jiangdu,江都,江都,Vanilla,False
Jiangle,将乐,將樂,Vanilla,False
Jiangyang,江阳,江陽,Vanilla,False
"Jiangyang, Copper Mine - Level 2",江阳（铜矿）2级,江陽·銅礦：等級2,Vanilla,False
Jiangzhou,江州,江州,Vanilla,False
Jianning,建宁,建寧,Vanilla,False
Jiexiu,界休,介休,Vanilla,False
Jieyang,揭阳,揭陽,Vanilla,False
Jimo,即墨,即墨,Vanilla,False
"Jincheng, Silk Trader",金城（锦市）,金城·絲綢商,Vanilla,False
Jingxing,井陉,景興,Vanilla,False
Jinyang,晋阳,晉陽,Vanilla,False
Juchao,居巢,居巢,Vanilla,False
Julan,且兰,且蘭,Vanilla,False
Julu,巨鹿,鉅鹿,Vanilla,False
Junmi,俊靡,俊靡,Vanilla,False
Juxian,剧县,劇縣,Vanilla,False
Kaiyang,开阳,開陽,Vanilla,False
Kui Pass,夔关,夔關,Vanilla,False
Land Beyond,化外之地,方外之地,Vanilla,False
Langzhong,阆中,閬中,Vanilla,False
Lantian,蓝田,藍田,Vanilla,False
"Lean, Trade Port",乐安（商港）,樂安·貿易港,Vanilla,False
Leling,乐陵,樂陵,Vanilla,False
Liangxian,梁县,梁縣,Vanilla,False
Linchen,临尘,臨塵,Vanilla,False
Lingzhou,灵州,靈州,Vanilla,False
Linhai,临海,臨海,Vanilla,False
Linjing,临泾,臨涇,Vanilla,False
Linju,临沮,臨沮,Lookup,False
Linxiang,临湘,臨湘,Vanilla,False
Linyu,临渝,臨渝,Vanilla,False
Linyuan,临沅,臨沅,Vanilla,False
Lishi,离石,離石,Vanilla,False
Liucheng,柳城,柳城,Vanilla,False
Longbien,龙编,龍編,Vanilla,False
Longchuan,龙川,龍川,Vanilla,False
Longdong,梇栋,梇棟,Vanilla,False
Lujiang,庐江,廬江,Vanilla,False
Luling,庐陵,廬陵,Vanilla,False
Lunu,卢奴,盧奴,Vanilla,False
Luocheng,雒城,洛城,Vanilla,False
Luoyang,洛阳,洛陽,Vanilla,False
Luxian,鲁县,呂縣,Vanilla,False
Meixian,眉县,眉縣,Vanilla,False
Mengling,猛陵,猛陵,Vanilla,False
Mengmen,孟门,孟門,Vanilla,False
Nan Sea,南海,南海,Vanilla,False
Nanchang,南昌,南昌,Vanilla,False
"Nanhai, Rice Paddy",南海（稻田）,南海·稻田,Vanilla,False
"Nanhai, Trade Port",南海（商港）,南海·貿易港,Vanilla,False
Nanpi,南皮,南皮,Vanilla,False
Nanping,南平,南平,Vanilla,False
"Nanyang, Jade Mine",南阳（玉矿）,南陽·採玉場,Vanilla,False
Nanzheng,南郑,南鄭,Vanilla,False
Panyu,番禺,番禺,Vanilla,False
Peixian,沛县,沛縣,Vanilla,False
Pengcheng,彭城,彭城,Lookup,False
"Pengcheng, Farmland",彭城（农田）,彭城·農地,Vanilla,False
"Pengcheng, Temple",彭城（庙宇）,彭城·廟宇,Vanilla,False
Pingyang,平阳,平陽,Vanilla,False
Pingyi,平夷,平夷,Vanilla,False
Pingyu,平舆,平輿,Vanilla,False
Poyang,鄱阳,鄱陽,Vanilla,False
Puzhou,蒲州,蒲州,Vanilla,False
Qi Pass,濝关,箕關,Vanilla,False
Qianling,迁陵,遷陵,Vanilla,False
Qingling,青蛉,青蛉,Vanilla,False
Quanling,泉陵,泉陵,Vanilla,False
Quren,朐忍,朐忍,Vanilla,False
Rinan,日南,日南,Vanilla,False
Ruyang,汝阳,汝陽,Vanilla,False
Ruyin,汝阴,汝陰,Vanilla,False
San Pass,散关,散關,Vanilla,False
Sanshui,三水,三水,Vanilla,False
Sea Beyond,远海,方外之海,Vanilla,False
"Shangdang, Farms",上党（农田）,上黨·農場,Vanilla,False
Shanggui,上邽,上邽,Vanilla,False
Shanglian,上廉,上廉,Vanilla,False
"Shangyong, Weapon Craftsmen",上庸（铸兵坊）,上庸·武器匠行,Vanilla,False
Shashu,沙戍,沙戍,Vanilla,False
Shexian,涉县,涉縣,Vanilla,False
Sheyan,奢延,奢延,Vanilla,False
Shouchun,寿春,壽春,Vanilla,False
Shu,蜀郡,蜀,Vanilla,False
"Shu, Armour Craftsmen",蜀郡（甲匠坊）,蜀·護甲匠行,Vanilla,False
Shuofang,朔方,朔方,Vanilla,False
"Shuofang, Animal Tamer",朔方（驯兽场）,朔方·馴獸場,Vanilla,False
Shuxian,舒县,舒縣,Vanilla,False
Siping,思平,思平,Vanilla,False
Suiyang,睢阳,睢陽,Vanilla,False
Taiyuan,太原,太原,Vanilla,False
Tangao,谈稿,談槁,Vanilla,False
Tanxian,郯县,郯縣,Vanilla,False
Tanzhong,潭中,潭中,Vanilla,False
Tianshui,天水,天水,Vanilla,False
Tong Pass,潼关,潼關,Vanilla,False
Tuyin,土垠,土垠,Vanilla,False
Wanwen,宛温,宛溫,Vanilla,False
Wanxian,宛县,宛縣,Vanilla,False
Weixian,味县,味縣,Vanilla,False
Wenma,温麻,溫麻,Vanilla,False
Wu Pass,武关,武關,Vanilla,False
Wudu,武都,武都,Vanilla,False
"Wudu, Copper Mine",武都（铜矿）,武都·銅礦,Vanilla,False
Wulian,毋敛,毋斂,Vanilla,False
"Wuling, Toolmaker",武陵（工具铺）,武陵·工具鋪,Vanilla,False
Wuwei,武威,武威,Vanilla,False
Xiabian,下辨,下辨,Vanilla,False
Xiangping,襄平,襄平,Vanilla,False
Xiangyang,襄阳,襄陽,Lookup,False
Xiapi,下邳,下邳,Lookup,False
"Xiapi, Farmland",下邳（农田）,下邳·農地,Vanilla,False
Xicheng,西城,西城,Vanilla,False
"Xihe, Fishing Port",西河（渔港）,西河·漁港,Vanilla,False
Xiling,西陵,西陵,Vanilla,False
Xindu,信都,信都,Vanilla,False
Xinye,新野,新野,Vanilla,False
Xisui,西随,西隨,Vanilla,False
Xiutu,休屠,休屠,Vanilla,False
Xiuyun,修云,修雲,Vanilla,False
Xiyang,西阳,西陽,Vanilla,False
Xuantu,玄菟,玄菟,Vanilla,False
Xuchang,许昌,許昌,Vanilla,False
Xuexian,薛县,薛縣,Lookup,False
Xunyang,寻阳,潯陽,Vanilla,False
Xupu,胥浦,胥浦,Vanilla,False
Xuwen,徐闻,徐聞,Vanilla,False
Yangdu,扬都,楊都,Vanilla,False
Yangle,阳乐,陽樂,Vanilla,False
Yelang,夜郎,夜郎,Vanilla,False
Yinguan,阴馆,陰館,Vanilla,False
Yinping,阴平,陰平,Vanilla,False
"Yizhou, District",益州（城市）,益州·郡治,Vanilla,False
"Yizhou, Lumber Yard",益州（贮木场）,益州·鋸木場,Vanilla,False
"Yizhou, Teahouse",益州（茶馆）,益州·茶館,Vanilla,False
Yong'an,永安,永安,Vanilla,False
Yongning,永宁,永寧,Vanilla,False
Yongshou,永寿,永壽,Vanilla,False
Yudu,雩都,雩都,Vanilla,False
Yuexi,越巂,越巂,Vanilla,False
Yulin,郁林,鬱林,Vanilla,False
"Yulin, Spice Trader",郁林（香药商）,鬱林·香料商,Vanilla,False
"Yuzhang, Copper Mine",豫章（铜矿）,豫章·銅礦,Vanilla,False
"Zangke, Trade Port",牂牁（商港）,牂牁·貿易港,Vanilla,False
Zhang Sea,涨海,漲海,Vanilla,False
Zhangwu,章武,章武,Vanilla,False
Zhangzi,长子,長子,Vanilla,False
Zhanyin,鹯阴,鸇陰,Vanilla,False
Zhaoge,朝歌,朝歌,Vanilla,False
Zhixian,轵县,軹縣,Vanilla,False
Zhongshan,中山,中山,Vanilla,False
Zhuo Lu,涿鹿,涿鹿,Vanilla,False
Zhuti,朱提,朱提,Vanilla,False
Zhuya,朱崖,朱崖,Vanilla,False
Zitong,梓潼,梓潼,Vanilla,False
Zizhong,资中,資中,Vanilla,False
linju,临沮,臨沮,Vanilla,False
.,工具铺,工具鋪,Vanilla,True
.,零陵（工具铺）,零陵·工具鋪,Vanilla,True
Pingding,平定,平定,Vanilla,True
Pingding,,平定,Vanilla,True
