eng,zh-cn,zh-tw,Source,Duplicated
Black Mountain Outlaws,黑山贼徒,黑山匪徒,Vanilla,False
Bohai Commandery,勃海豪强,渤海郡,Vanilla,False
Bohai Commandery Renegades,勃海豪强乱军,渤海郡叛黨,Vanilla,False
Bohai Separatist Renegades,勃海叛党乱军,渤海獨立勢力叛黨,Vanilla,False
Bohai Separatists,勃海叛党,渤海獨立勢力,Vanilla,False
Bohai Separatists Renegades,勃海叛党乱军,渤海獨立勢力叛黨,Vanilla,False
Bringers of Peace,布和军,安良軍,Vanilla,False
Bringers of Righteousness,布义军,正道使者,Vanilla,False
Cai,蔡氏,蔡,Vanilla,False
Cai Mao,蔡瑁,蔡瑁,Vanilla,False
Cai Mao Renegades,蔡瑁乱军,蔡瑁叛黨,Vanilla,False
Cai Mao Separatists Renegades,蔡瑁叛党乱军,蔡瑁獨立勢力叛黨,Vanilla,False
Cai Separatists,蔡氏叛党,蔡獨立勢力,Vanilla,False
Cai Yan,蔡琰,蔡琰,Lookup,False
Camp Crushers,陷阵死士,破寨軍,Vanilla,False
Cangwu,苍梧,蒼梧,Vanilla,False
Cangwu Commandery,苍梧豪强,蒼梧郡,Vanilla,False
Cangwu Commandery Renegades,苍梧豪强乱军,蒼梧郡叛黨,Vanilla,False
Cangwu Commandery Separatists,苍梧豪强叛党,蒼梧郡獨立勢力,Vanilla,False
Cangwu Commandery Separatists Renegades,苍梧豪强叛党乱军,蒼梧郡獨立勢力叛黨,Vanilla,False
Cangwu Separatist Renegades,苍梧叛党乱军,蒼梧獨立勢力叛黨,Vanilla,False
Cangwu Separatists,苍梧叛党,蒼梧獨立勢力,Vanilla,False
Cao Ang,曹昂,曹昂,Lookup,False
Cao Cao,曹操,曹操,Vanilla,False
Cao Cao Renegades,曹操乱军,曹操叛黨,Vanilla,False
Cao Cao Separatists,曹操叛党,曹操獨立勢力,Vanilla,False
Cao Cao Separatists Renegades,曹操叛党乱军,曹操獨立勢力叛黨,Vanilla,False
Cao Pi,曹丕,曹丕,Vanilla,False
Cao Ren,曹仁,曹仁,Vanilla,False
Cao Song,曹嵩,曹嵩,Vanilla,False
Cao Song Renegades,曹嵩乱军,曹嵩叛黨,Vanilla,False
Cao Song Separatist Renegades,曹嵩叛党乱军,曹嵩獨立勢力叛黨,Vanilla,False
Cao Song Separatists,曹嵩叛党,曹嵩獨立勢力,Vanilla,False
Cataphracts,铁骑,鐵甲騎兵,Vanilla,False
Changsha Commandery,长沙豪强,長沙郡,Vanilla,False
Changsha Commandery Renegades,长沙豪强乱军,長沙郡叛黨,Vanilla,False
Changsha Commandery Separatists,长沙豪强叛党,長沙郡獨立勢力,Vanilla,False
Changsha Commandery Separatists Renegades,长沙豪强叛党乱军,長沙郡獨立勢力叛黨,Vanilla,False
Changsha Separatist Renegades,长沙叛党乱军,長沙獨立勢力叛黨,Vanilla,False
Changsha Separatists,长沙叛党,長沙獨立勢力,Vanilla,False
Chanters,诵经团,念咒班,Vanilla,False
Chao,巢,巢,Vanilla,False
Chao Separatists,巢叛党,巢獨立勢力,Vanilla,False
Chen,陈,陳,Vanilla,False
Chen Commandery,陈郡豪强,陳郡,Vanilla,False
Chen Commandery Renegades,陈郡豪强乱军,陳郡叛黨,Vanilla,False
Chen Commandery Separatists,陈郡豪强叛党,陳郡獨立勢力,Vanilla,False
Chen Commandery Separatists Renegades,陈郡豪强叛党乱军,陳郡獨立勢力叛黨,Vanilla,False
Chen Deng,陈登,陳登,Vanilla,False
Chen Deng Renegades,陈登乱军,陳登叛黨,Vanilla,False
Chen Deng Separatist Renegades,陈登叛党乱军,陳登獨立勢力叛黨,Vanilla,False
Chen Deng Separatists,陈登叛党,陳登獨立勢力,Vanilla,False
Chen Gong,陈宫,陳宮,Vanilla,False
Chen Gui,陈珪,陳珪,Vanilla,False
Chen Gui Renegades,陈珪乱军,陳珪叛黨,Vanilla,False
Chen Gui Separatist Renegades,陈珪叛党乱军,陳珪獨立勢力叛黨,Vanilla,False
Chen Gui Separatists,陈珪叛党,陳珪獨立勢力,Vanilla,False
Chen Peacekeepers,陈郡泰平卫士,陳國衛平軍,Vanilla,False
Chen Royal Guard,陈郡羽林军,陳國親軍,Vanilla,False
Chen Separatists,陈叛党,陳獨立勢力,Vanilla,False
Cheng Pu,程普,程普,Vanilla,False
Chenjun Commandery,陈郡豪强,陳郡,Vanilla,False
Chenjun Commandery Renegades,陈郡豪强乱军,陳郡叛黨,Vanilla,False
Chenjun Separatist Renegades,陈郡叛党乱军,陳郡獨立勢力叛黨,Vanilla,False
Chenjun Separatists,陈郡叛党,陳郡獨立勢力,Vanilla,False
Chosen of the Eight Immortals,八公神兵,八仙傳人,Vanilla,False
Chu,楚,楚,Vanilla,False
Chu Gong,褚贡,褚貢,Vanilla,False
Chu Gong Renegades,褚贡乱军,褚貢叛黨,Vanilla,False
Chu Gong Separatist Renegades,褚贡叛党乱军,褚貢獨立勢力叛黨,Vanilla,False
Chu Gong Separatists,褚贡叛党,褚貢獨立勢力,Vanilla,False
Chu Infantry,楚国步兵,楚國步兵,Vanilla,False
Chu Separatists,楚叛党,楚獨立勢力,Vanilla,False
Chu Spearmen,楚国矛兵,楚國長槍兵,Vanilla,False
Chunyu Qiong,淳于琼,淳于瓊,Lookup,False
Civilian,百姓,百姓,Vanilla,False
Crossbowmen,弩兵,弩兵,Vanilla,False
Da Qiao,大乔,大喬,Vanilla,False
Dai,代郡,代,Vanilla,False
Dai Separatists,代叛党,代獨立勢力,Vanilla,False
Daijun Commandery,代郡豪强,代郡,Vanilla,False
Daijun Commandery Renegades,代郡豪强乱军,代郡叛黨,Vanilla,False
Daijun Separatist Renegades,代郡叛党乱军,代郡獨立勢力叛黨,Vanilla,False
Daijun Separatists,代郡叛党,代郡獨立勢力,Vanilla,False
Daijun Separatists Renegades,代郡叛党乱军,代郡獨立勢力叛黨,Vanilla,False
Danyang,丹阳,丹陽,Vanilla,False
Danyang Commandery,丹阳豪强,丹陽郡,Vanilla,False
Danyang Commandery Renegades,丹阳豪强乱军,丹陽郡叛黨,Vanilla,False
Danyang Separatists,丹阳叛党,丹陽獨立勢力,Vanilla,False
Danyang Separatists Renegades,丹阳叛党乱军,丹陽獨立勢力叛黨,Vanilla,False
Dao Infantry Captain,持刀伯长,持刀步兵校尉,Vanilla,False
Dao Swordguard Cavalry,宿卫刀骑兵,持刀劍衛騎兵,Vanilla,False
Dao Swordguards,持刀宿卫,持刀劍衛,Vanilla,False
Defenders of Earth,坤地护军,后土衛,Vanilla,False
Defenders of Hebei,河北卫军,冀州衛士,Vanilla,False
Defenders of the Empire,戍国卫士,衛國軍,Vanilla,False
Destroyers of Treachery,平叛义军,蕩寇軍,Vanilla,False
Dian Wei,典韦,典韋,Vanilla,False
Diao Chan,貂蝉,貂蟬,Lookup,False
Ding Yuan,丁原,丁原,Vanilla,False
Ding Yuan Renegades,丁原乱军,丁原叛黨,Vanilla,False
Ding Yuan Separatist Renegades,丁原叛党乱军,丁原獨立勢力叛黨,Vanilla,False
Ding Yuan Separatists,丁原叛党,丁原獨立勢力,Vanilla,False
Dong Bai,董白,董白,Lookup,False
Dong Commandery,东郡豪强,東郡,Vanilla,False
Dong Commandery Renegades,东郡豪强乱军,東郡叛黨,Vanilla,False
Dong He,董和,董和,Vanilla,False
Dong He Renegades,董和乱军,董和叛黨,Vanilla,False
Dong He Separatist Renegades,董和叛党乱军,董和獨立勢力叛黨,Vanilla,False
Dong He Separatists,董和叛党,董和獨立勢力,Vanilla,False
Dong Min,董旻,董旻,Lookup,False
Dong Separatists,董氏叛党,董卓獨立勢力,Vanilla,False
Dong Zhuo,董卓,董卓,Vanilla,False
Dong Zhuo Renegades,董卓乱军,董卓叛黨,Vanilla,False
Dong Zhuo Separatists,董卓叛党,董卓獨立勢力,Vanilla,False
Dong Zhuo Separatists Renegades,董卓叛党乱军,董卓獨立勢力叛黨,Vanilla,False
Donghai,东海,東海,Vanilla,False
Donghai Commandery,东海豪强,東海郡,Vanilla,False
Donghai Commandery Renegades,东海豪强乱军,東海郡叛黨,Vanilla,False
Donghai Commandery Separatists,东海豪强叛党,東海郡獨立勢力,Vanilla,False
Donghai Commandery Separatists Renegades,东海豪强叛党乱军,東海郡獨立勢力叛黨,Vanilla,False
Donghai Separatist Renegades,东海叛党乱军,東海獨立勢力叛黨,Vanilla,False
Donghai Separatists,东海叛党,東海獨立勢力,Vanilla,False
Dongjun,东郡豪强,東,Vanilla,False
Dongjun Commandery,东郡豪强,東郡,Vanilla,False
Dongjun Commandery Renegades,东郡豪强乱军,東郡叛黨,Vanilla,False
Dongjun Separatist Renegades,东郡叛党乱军,東郡獨立勢力叛黨,Vanilla,False
Dongjun Separatists,东郡叛党,東郡獨立勢力,Vanilla,False
Dongjun Separatists Renegades,东郡叛党乱军,東獨立勢力叛黨,Vanilla,False
Donglai Commandery,东莱豪强,東萊郡,Vanilla,False
Donglai Commandery Renegades,东莱豪强乱军,東萊郡叛黨,Vanilla,False
Donglai Commandery Separatists,东莱豪强叛党,東萊郡獨立勢力,Vanilla,False
Donglai Commandery Separatists Renegades,东莱豪强叛党乱军,東萊郡獨立勢力叛黨,Vanilla,False
Donglai Separatist Renegades,东莱叛党乱军,東萊獨立勢力叛黨,Vanilla,False
Donglai Separatists,东莱叛党,東萊獨立勢力,Vanilla,False
Dongtuna,董荼那,董荼那,Vanilla,False
Dongtuna Renegades,董荼那乱军,董荼那叛黨,Vanilla,False
Dongtuna Separatists,董荼那叛党,董荼那獨立勢力,Vanilla,False
Dongtuna Separatists Renegades,董荼那叛党乱军,董荼那獨立勢力叛黨,Vanilla,False
Dongzhoubing Defenders,东州卫军,東州兵衛士,Vanilla,False
Dongzhoubing Marksmen,东州射声士,東州兵射手,Vanilla,False
Duke of Lanling,兰陵公国,蘭陵公,Vanilla,False
Duke of Lanling Renegades,兰陵公国乱军,蘭陵公叛黨,Vanilla,False
Duke of Lanling Separatist Renegades,兰陵公国叛党乱军,蘭陵公獨立勢力叛黨,Vanilla,False
Duke of Lanling Separatists,兰陵公国叛党,蘭陵公獨立勢力,Vanilla,False
Eastern Wu,东吴,東吳,Vanilla,False
Eastern Wu Renegades,东吴乱军,東吳叛黨,Vanilla,False
Eastern Wu Separatist Renegades,东吴叛党乱军,東吳獨立勢力叛黨,Vanilla,False
Eastern Wu Separatists,东吴叛党,東吳獨立勢力,Vanilla,False
Empress He,何皇后,何皇后,Vanilla,False
Exemplars of the Tao,道一贤人,求道模範,Vanilla,False
Fervent Defenders,狂烈卫士,至誠衛士,Vanilla,False
Fire Archers,火箭手,火矢弓兵,Vanilla,False
Fists of the Bandit Queen,魁首前军,盜賊女王拳勇團,Vanilla,False
Flying Riders,摧锋飞骑,飛騎,Vanilla,False
Followers of the Flame,火神信徒,火神信徒,Vanilla,False
Fuling,涪陵,涪陵,Vanilla,False
Fuling Commandery,涪陵豪强,涪陵郡,Vanilla,False
Fuling Commandery Renegades,涪陵豪强乱军,涪陵郡叛黨,Vanilla,False
Fuling Commandery Separatists,涪陵豪强叛党,涪陵郡獨立勢力,Vanilla,False
Fuling Commandery Separatists Renegades,涪陵豪强叛党乱军,涪陵郡獨立勢力叛黨,Vanilla,False
Fuling Separatist Renegades,涪陵叛党乱军,涪陵獨立勢力叛黨,Vanilla,False
Fuling Separatists,涪陵叛党,涪陵獨立勢力,Vanilla,False
Fury of Beihai,北海之怒,北海之怒,Vanilla,False
Gallants of the People,人统雄豪,護民勇士,Vanilla,False
Gan Ning,甘宁,甘寧,Vanilla,False
Gao Gan,高干,高幹,Vanilla,False
Gao Gan Renegades,高干乱军,高幹叛黨,Vanilla,False
Gao Gan Separatists,高干叛党,高幹獨立勢力,Vanilla,False
Gao Gan Separatists Renegades,高干乱军,高幹獨立勢力叛黨,Vanilla,False
Gao Shun,高顺,高順,Vanilla,False
Gaoliang,高凉,高涼,Vanilla,False
Gaoliang Commandery,高凉豪强,高涼郡,Vanilla,False
Gaoliang Commandery Renegades,高凉豪强乱军,高涼郡叛黨,Vanilla,False
Gaoliang Separatist Renegades,高凉叛党乱军,高涼獨立勢力叛黨,Vanilla,False
Gaoliang Separatists,高凉叛党,高涼獨立勢力,Vanilla,False
Gaoliang Separatists Renegades,高凉叛党乱军,高涼獨立勢力叛黨,Vanilla,False
Generic Earth,土系将军,一般（土）,Vanilla,False
Generic Fire,火系将军,一般（火）,Vanilla,False
Generic Metal,金系将军,一般（金）,Vanilla,False
Generic Nanman,普通南蛮将领,一般（南蠻）,Vanilla,False
Generic Water,水系将军,一般（水）,Vanilla,False
Gong Du,龚都,龔都,Vanilla,False
Gong Du Renegades,龚都乱军,龔都叛黨,Vanilla,False
Gong Du Yellow Turbans,龚都黄巾军,龔都黃巾軍,Vanilla,False
Gongsun Du,公孙度,公孫度,Vanilla,False
Gongsun Du Renegades,公孙度乱军,公孫度叛黨,Vanilla,False
Gongsun Du Separatists,公孙度叛党,公孫度獨立勢力,Vanilla,False
Gongsun Du Separatists Renegades,公孙度叛党乱军,公孫度獨立勢力叛黨,Vanilla,False
Gongsun Zan,公孙瓒,公孫瓚,Vanilla,False
Gongsun Zan Renegades,公孙瓒乱军,公孫瓚叛黨,Vanilla,False
Gongsun Zan Separatists,公孙瓒叛党,公孫瓚獨立勢力,Vanilla,False
Gongsun Zan Separatists Renegades,公孙瓒叛党乱军,公孫瓚獨立勢力叛黨,Vanilla,False
Guan Yu,关羽,關羽,Vanilla,False
Guangling,广陵,廣陵,Vanilla,False
Guangling Commandery,广陵豪强,廣陵郡,Vanilla,False
Guangling Commandery Renegades,广陵豪强乱军,廣陵郡叛黨,Vanilla,False
Guangling Commandery Separatists,广陵豪强叛党,廣陵郡獨立勢力,Vanilla,False
Guangling Commandery Separatists Renegades,广陵豪强叛党乱军,廣陵郡獨立勢力叛黨,Vanilla,False
Guangling Separatist Renegades,广陵叛党乱军,廣陵獨立勢力叛黨,Vanilla,False
Guangling Separatists,广陵叛党,廣陵獨立勢力,Vanilla,False
Guangyang Commandery,广阳豪强,廣陽郡,Vanilla,False
Guangyang Commandery Renegades,广阳豪强乱军,廣陽郡叛黨,Vanilla,False
Guangyang Commandery Separatists,广阳豪强叛党,廣陽郡獨立勢力,Vanilla,False
Guangyang Commandery Separatists Renegades,广阳豪强叛党乱军,廣陽郡獨立勢力叛黨,Vanilla,False
Guangyang Separatists,广阳叛党,廣陽獨立勢力,Vanilla,False
Guardians of the Land,捍地军,土地衛士,Vanilla,False
Guo Jia,郭嘉,郭嘉,Vanilla,False
Guo Si,郭汜,郭汜,Lookup,False
Guzhu,孤竹,孤竹,Vanilla,False
Guzhu Separatists,孤竹叛党,孤竹獨立勢力,Vanilla,False
Han Dynasty,汉朝,漢朝,Vanilla,False
Han Dynasty Renegades,汉朝乱军,漢朝叛黨,Vanilla,False
Han Dynasty Separatist Renegades,汉朝叛党乱军,漢朝獨立勢力叛黨,Vanilla,False
Han Dynasty Separatists,汉朝叛党,漢朝獨立勢力,Vanilla,False
Han Empire Renegades,汉帝国乱军,大漢叛黨,Vanilla,False
Han Empire Separatists,大汉叛党,大漢獨立勢力,Vanilla,False
Han Empire Separatists Renegades,汉帝国乱军,大漢獨立勢力叛黨,Vanilla,False
Han Fu,韩馥,韓馥,Vanilla,False
Han Fu Renegades,韩馥乱军,韓馥叛黨,Vanilla,False
Han Fu Separatist Renegades,韩馥叛党乱军,韓馥獨立勢力叛黨,Vanilla,False
Han Fu Separatists,韩馥叛党,韓馥獨立勢力,Vanilla,False
Han Fu Separatists Renegades,韩馥叛党乱军,韓馥獨立勢力叛黨,Vanilla,False
Han Sui,韩遂,韓遂,Vanilla,False
Han Sui Renegades,韩遂乱军,韓遂叛黨,Vanilla,False
Han Sui Separatists,韩遂叛党,韓遂獨立勢力,Vanilla,False
Han Sui Separatists Renegades,韩遂乱军,韓遂獨立勢力叛黨,Vanilla,False
Handmaid Guard,烈女侍骑,護衛侍女,Vanilla,False
Hanning,汉宁,漢寧,Vanilla,False
Hanning Separatists,汉宁叛党,漢寧獨立勢力,Vanilla,False
Hanzhong,汉中,漢中,Vanilla,False
Hanzhong Commandery,汉中豪强,漢中郡,Vanilla,False
Hanzhong Commandery Renegades,汉中豪强乱军,漢中郡叛黨,Vanilla,False
Hanzhong Separatist Renegades,汉中叛党乱军,漢中獨立勢力叛黨,Vanilla,False
Hanzhong Separatists,汉中叛党,漢中獨立勢力,Vanilla,False
Hanzhong Separatists Renegades,汉中叛党乱军,漢中獨立勢力叛黨,Vanilla,False
He Jin,何进,何進,Vanilla,False
He Man,何曼,何曼,Vanilla,False
He Yi,何仪,何儀,Vanilla,False
He Yi Renegades,何仪乱军,何儀叛黨,Vanilla,False
He Yi Yellow Turbans,何仪黄巾军,何儀黃巾軍,Vanilla,False
Heavy Cataphracts,重装铁骑,重型鐵甲騎兵,Vanilla,False
Heavy Crossbowmen,重装弩兵,重型弩兵,Vanilla,False
Heavy Ji Infantry,重装戟步兵,重戟兵,Vanilla,False
Heavy Mounted Archers,重装骑射手,重型弓騎兵,Vanilla,False
Heavy Repeating Crossbowmen,重装连弩兵,重型連弩兵,Vanilla,False
Heavy Spear Guards,重装持矛亲卫,重型長槍衛兵,Vanilla,False
Heavy Tiger & Leopard Cavalry,重装虎豹骑,虎豹鐵騎,Vanilla,False
Heavy Xiliang Cavalry,重装西凉骑兵,西涼鐵騎,Vanilla,False
Hedong,河东,河東,Vanilla,False
Hedong Commandery,河东豪强,河東郡,Vanilla,False
Hedong Commandery Renegades,河东豪强乱军,河東郡叛黨,Vanilla,False
Hedong Commandery Separatists,河东豪强叛党,河東郡獨立勢力,Vanilla,False
Hedong Commandery Separatists Renegades,河东豪强叛党乱军,河東郡獨立勢力叛黨,Vanilla,False
Hedong Separatist Renegades,河东叛党乱军,河東獨立勢力叛黨,Vanilla,False
Hedong Separatists,河东叛党,河東獨立勢力,Vanilla,False
Heishan,,黑山,Vanilla,False
Heishan Separatists,黑山叛党,黑山獨立勢力,Vanilla,False
Henei Commandery,河内豪强,河內郡,Vanilla,False
Henei Commandery Renegades,河内豪强乱军,河內郡叛黨,Vanilla,False
Henei Separatist Renegades,河内叛党乱军,河內獨立勢力叛黨,Vanilla,False
Henei Separatists,河内叛党,河內獨立勢力,Vanilla,False
Henei Separatists Renegades,河内叛党乱军,河內獨立勢力叛黨,Vanilla,False
Hepu,合浦,合浦,Vanilla,False
Hepu Commandery,合浦豪强,合浦郡,Vanilla,False
Hepu Commandery Renegades,合浦豪强乱军,合浦郡叛黨,Vanilla,False
Hepu Commandery Separatists,合浦豪强叛党,合浦郡獨立勢力,Vanilla,False
Hepu Commandery Separatists Renegades,合浦豪强叛党乱军,合浦郡獨立勢力叛黨,Vanilla,False
Hepu Separatist Renegades,合浦叛党乱军,合浦獨立勢力叛黨,Vanilla,False
Hepu Separatists,合浦叛党,合浦獨立勢力,Vanilla,False
Hidden Axes,隐斧军,隱密斧兵,Vanilla,False
Hidden Vipers,吹箭手,隱蛇兵,Vanilla,False
Horseback Huntsmen,猎骑兵,馬背獵人,Vanilla,False
Hou Jinting,侯氏,侯氏,Lookup,False
Hua,华,華,Vanilla,False
Hua Lanli,华氏,華氏,Lookup,False
Hua Xin,华歆,華歆,Vanilla,False
Hua Xin Renegades,华歆乱军,華歆叛黨,Vanilla,False
Hua Xin Separatist Renegades,华歆叛党乱军,華歆獨立勢力叛黨,Vanilla,False
Hua Xin Separatists,华歆叛党,華歆獨立勢力,Vanilla,False
Huainan,淮南,淮南,Vanilla,False
Huainan Commandery,淮南豪强,淮南郡,Vanilla,False
Huainan Commandery Renegades,淮南豪强乱军,淮南郡叛黨,Vanilla,False
Huainan Commandery Separatists,淮南豪强叛党,淮南郡獨立勢力,Vanilla,False
Huainan Commandery Separatists Renegades,淮南豪强叛党乱军,淮南郡獨立勢力叛黨,Vanilla,False
Huainan Separatists,淮南叛党,淮南獨立勢力,Vanilla,False
Huang Gai,黄盖,黃蓋,Vanilla,False
Huang Shao,黄邵,黃邵,Vanilla,False
Huang Shao Renegades,黄邵乱军,黃邵叛黨,Vanilla,False
Huang Shao Yellow Turbans,黄邵黄巾军,黃邵黃巾軍,Vanilla,False
Huang Zhong,黄忠,黃忠,Vanilla,False
Huang Zu,黄祖,黃祖,Vanilla,False
Huang Zu Renegades,黄祖乱军,黃祖叛黨,Vanilla,False
Huang Zu Separatists,黄祖叛党,黃祖獨立勢力,Vanilla,False
Huang Zu Separatists Renegades,黄祖乱军,黃祖獨立勢力叛黨,Vanilla,False
Huangfu Song,皇甫嵩,皇甫嵩,Vanilla,False
Huanglao's Paragons,黄老贤圣,黃老仙軍,Vanilla,False
Imperial Defenders,中护军,禁軍衛士,Vanilla,False
Imperial Gate Guards,期门禁军,宮門衛士,Vanilla,False
Imperial Guard Captain,宿卫禁军伯长,禁軍校尉,Vanilla,False
Imperial Guards,宿卫禁军,禁軍,Vanilla,False
Imperial Household Cavalry,羽林骑,羽林騎,Vanilla,False
Imperial Lancer Cavalry,羽林枪骑,羽林槍騎,Vanilla,False
Imperial Palace Cavalry,羽林弩骑,虎賁騎,Vanilla,False
Imperial Palace Crossbowmen,禁卫弩兵,虎賁弩兵,Vanilla,False
Imperial Sword Guard,虎贲剑卫,虎賁刀衛,Vanilla,False
Infantry of Jing,荆州步兵,荊州步兵,Vanilla,False
Jade Dragons,玉龙军,玉龍軍,Vanilla,False
Javelin Spear Guards,掷矛卫士,擲鋋衛兵,Vanilla,False
Javelin Throwers,投枪手,擲鋋兵,Vanilla,False
Javelin Spearmen,投矛兵,擲槍兵,Vanilla,False
Ji Defectors,变节戟兵,持戟叛逃兵,Vanilla,False
Ji Infantry,戟步兵,戟兵,Vanilla,False
Ji Infantry Captain,持戟步兵伯长,戟兵校尉,Vanilla,False
Ji Ling,纪灵,纪灵,Lookup,False
Ji Militia,戟民兵,義勇戟兵,Vanilla,False
Jia Long,贾龙,賈龍,Vanilla,False
Jia Long Renegades,贾龙乱军,賈龍叛黨,Vanilla,False
Jia Long Separatists,贾龙叛党,賈龍獨立勢力,Vanilla,False
Jia Long Separatists Renegades,贾龙乱军,賈龍獨立勢力叛黨,Vanilla,False
Jia Xu,贾诩,賈詡,Vanilla,False
Jian Cavalry Captain,持剑骑兵伯长,持劍騎兵校尉,Vanilla,False
Jian Infantry Captain,持剑步兵伯长,持劍步兵校尉,Vanilla,False
Jian Sword Guard Cavalry,佩剑守卫骑兵,劍衛騎兵,Vanilla,False
Jian Sword Guards,佩剑守卫,劍衛,Vanilla,False
Jian Yong,简雍,簡雍,Lookup,False
Jiang Qin,蒋钦,蔣欽,Lookup,False
Jiangxia,江夏,江夏,Vanilla,False
Jiangxia Commandery,江夏豪强,江夏郡,Vanilla,False
Jiangxia Commandery Renegades,江夏豪强乱军,江夏郡叛黨,Vanilla,False
Jiangxia Commandery Separatists,江夏豪强叛党,江夏郡獨立勢力,Vanilla,False
Jiangxia Commandery Separatists Renegades,江夏豪强叛党乱军,江夏郡獨立勢力叛黨,Vanilla,False
Jiangxia Separatist Renegades,江夏叛党乱军,江夏獨立勢力叛黨,Vanilla,False
Jiangxia Separatists,江夏叛党,江夏獨立勢力,Vanilla,False
Jiangyang Commandery,江阳豪强,江陽郡,Vanilla,False
